Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,conditions,consent,correct_incorrect_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,response,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
7,HP_Screen,2,imported_HP Trials,1,1,,,,,,,1,,,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp4.3.flac,,,,,,,,,,,,,,,,,,,,,,,choice 3,,,,,,,,,,,,,,,,,,,hp4.3.flac,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,2,4,,,,,,,1,,,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp2.1.flac,,,,,,,,,,,,,,,,,,,,,,,choice 1,,,,,,,,,,,,,,,,,,,hp2.1.flac,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,3,6,,,,,,,1,,,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp6.2.flac,,,,,,,,,,,,,,,,,,,,,,,choice 2,,,,,,,,,,,,,,,,,,,hp6.2.flac,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,4,2,,,,,,,1,,,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp3.3.flac,,,,,,,,,,,,,,,,,,,,,,,choice 3,,,,,,,,,,,,,,,,,,,hp3.3.flac,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,5,3,,,,,,,1,,,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp2.2.flac,,,,,,,,,,,,,,,,,,,,,,,choice 2,,,,,,,,,,,,,,,,,,,hp2.2.flac,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,6,5,,,,,,,1,,,,,,,,,,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.1.flac,,,,,,,,,,,,,,,,,,,,,,,choice 1,,,,,,,,,,,,,,,,,,,hp5.1.flac,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
7,HP_Screen,1,imported_HP Instructions,1,1,,,,,,,1,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
6,AP_Screen,3,imported_AP_eval,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,1,1,,,,,,,1,,,,,,,,,,,,three,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_O_S,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,2,2,,,,,,,2,,,,,,,,,,,,two,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_S_O,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,3,5,,,,,,,5,,,,,,,,,,,,two,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_S_I,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,4,3,,,,,,,3,,,,,,,,,,,,one,,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_O_I,,yes,,,2022-01-18T20:12:33.000Z,355373,group_2,393925,Memory2/Open3,1,2022-01-18T19:30:09.000Z,,,,not measured,,True
