Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,conditions,consent,correct_incorrect_m_2,correct_incorrect_m_3,correct_incorrect_mem_1,correct_incorrect_p_1,correct_incorrect_p_2,correct_incorrect_p_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,prolific_ID,prolific_ID_copy_30d1,relative_pitch,response,response_seg,response_seg2,response_Time2,responseTime,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
2,Consent,1,Consent,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616721ae6f6c6b77a7242f41,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
4,GenInstructMemCat,1,InstructionsMemCat,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,2,imported_AP_headphone test,1,5,,,,,,,5,,,,,,,,,,,,two,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_S_I,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,2,imported_AP_headphone test,2,3,,,,,,,3,,,,,,,,,,,,one,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_O_I,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,2,imported_AP_headphone test,3,1,,,,,,,1,,,,,,,,,,,,three,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_O_S,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,2,imported_AP_headphone test,4,2,,,,,,,2,,,,,,,,,,,,two,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_S_O,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,2,imported_AP_headphone test,5,6,,,,,,,6,,,,,,,,,,,,three,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_I_S,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,2,imported_AP_headphone test,6,4,,,,,,,4,,,,,,,,,,,,one,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_I_O,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,3,imported_AP_eval,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
6,AP_Screen,1,imported_AP_instruction,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2022-09-06T16:46:31.000Z,483514,group_5,552598,Memory2/Cat.3,1,2022-09-06T16:03:37.000Z,,,,not measured,,TRUE
